Any,Equipament,Indicador,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2021,"Centre Cívic Sant Martí",ActivitatsDeFormacio,123,,,10,"Sant Martí",72,"Sant Martí de Provençals",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.198563813
2021,"Centre Cívic Sant Martí",InscripcionsActivitatsFormacio,1037,,,10,"Sant Martí",72,"Sant Martí de Provençals",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.198563813
2021,"Centre Cívic Sant Martí",Metres_quadrats,5470,,,10,"Sant Martí",72,"Sant Martí de Provençals",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.198563813
2021,"Centre Cívic Sarrià",ActivitatsDeFormacio,107,,"El 28 de gener de 1983 s'inaugura com a centre cívic. Per problemes estructurals es manté tancat entre 1984 i 1986. El 4 de setembre de 1986 s'inaugura definitivament.",05,"Sarrià-Sant Gervasi",23,Sarrià,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979,2.121163587
2021,"Centre Cívic Sarrià",InscripcionsActivitatsFormacio,910,,"El 28 de gener de 1983 s'inaugura com a centre cívic. Per problemes estructurals es manté tancat entre 1984 i 1986. El 4 de setembre de 1986 s'inaugura definitivament.",05,"Sarrià-Sant Gervasi",23,Sarrià,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979,2.121163587
2021,"Centre Cívic Sarrià",Metres_quadrats,1011,,"El 28 de gener de 1983 s'inaugura com a centre cívic. Per problemes estructurals es manté tancat entre 1984 i 1986. El 4 de setembre de 1986 s'inaugura definitivament.",05,"Sarrià-Sant Gervasi",23,Sarrià,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979,2.121163587
2021,"Centre Cívic Teixonera",ActivitatsDeFormacio,70,,,07,Horta-Guinardó,38,"la Teixonera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884,2.144554558
2021,"Centre Cívic Teixonera",InscripcionsActivitatsFormacio,503,,,07,Horta-Guinardó,38,"la Teixonera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884,2.144554558
2021,"Centre Cívic Teixonera",Metres_quadrats,841,,,07,Horta-Guinardó,38,"la Teixonera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884,2.144554558
2021,"Centre Cívic Tomasa Cuevas - Les Corts",ActivitatsDeFormacio,85,,,04,"Les Corts",19,"les Corts",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.384783744,2.128318397
